Внешний код;Артикул;Наименование номенклатуры;ВидНоменклатуры;ЕдиницаИзмерения;Бренд;Тип;Серия;Модель;Цвет;Высота;Ширина;Толщина;Стекло;Эксклюзив;Стиль;Путь к фото;Цена ЦФО Оптовая;Цена СЗФО Оптовая;Цена СФО Оптовая;Цена ЮФО Оптовая;Цена УФО Оптовая;Цена ЦФО Розница;Цена СЗФО Розница;Цена СФО Розница;Цена ЮФО Розница;Цена УФО Розница;Цена ДВФО Розница;
00-00026113;SC-00026113;Наличник плоский XN 10*80*2440 Стоун;Погонаж;шт;PROFILDOORS;Наличник;XN,ZN;;Стоун;2440;80;10;;;;;619.00;625.00;644.00;631.00;638.00;867.00;876.00;902.00;884.00;893.00;919.00;
00-00019201;SC-00019201;Наличник плоский XN 10*80*2440 Дуб Салинас Светлый;Погонаж;шт;PROFILDOORS;Наличник;XN,ZN;;Дуб Салинас Светлый;2440;80;10;;;;;619.00;625.00;644.00;631.00;638.00;867.00;876.00;902.00;884.00;893.00;919.00;
00-00026482;SC-00026482;Наличник плоский XN 10*80*2440 Грувд Серый;Погонаж;шт;PROFILDOORS;Наличник;XN,ZN;;Грувд Серый;2440;80;10;;;;;619.00;625.00;644.00;631.00;638.00;867.00;876.00;902.00;884.00;893.00;919.00;
00-00019779;SC-00019779;Добор 10*100*2440 Дуб Салинас Светлый;Погонаж;шт;PROFILDOORS;Добор;XN,ZN;;Дуб Салинас Светлый;2440;100;10;;;;;949.00;958.00;987.00;968.00;977.00;1329.00;1342.00;1382.00;1356.00;1369.00;1409.00;
00-00019781;SC-00019781;Добор 10*150*2440 Дуб Салинас Светлый;Погонаж;шт;PROFILDOORS;Добор;XN,ZN;;Дуб Салинас Светлый;2440;150;10;;;;;1072.00;1083.00;1115.00;1093.00;1104.00;1501.00;1516.00;1561.00;1531.00;1546.00;1591.00;
00-00026928;SC-00026928;Добор 10*200*2440 Дуб Салинас Светлый;Погонаж;шт;PROFILDOORS;Добор;XN,ZN;;Дуб Салинас Светлый;2440;200;10;;;;;1899.00;1918.00;1975.00;1937.00;1956.00;2659.00;2686.00;2765.00;2712.00;2739.00;2819.00;
00-00025851;SC-00025851;Добор XN 10*100*2440 Грувд Серый;Погонаж;шт;PROFILDOORS;Добор;XN,ZN;;Грувд Серый;2440;100;10;;;;;949.00;958.00;987.00;968.00;977.00;1329.00;1342.00;1382.00;1356.00;1369.00;1409.00;
00-00025852;SC-00025852;Добор XN 10*100*2440 Монблан;Погонаж;шт;PROFILDOORS;Добор;XN,ZN;;Монблан;2440;100;10;;;;;949.00;958.00;987.00;968.00;977.00;1329.00;1342.00;1382.00;1356.00;1369.00;1409.00;
00-00025855;SC-00025855;Добор XN 10*150*2440 Грувд Серый;Погонаж;шт;PROFILDOORS;Добор;XN,ZN;;Грувд Серый;2440;150;10;;;;;1072.00;1083.00;1115.00;1093.00;1104.00;1501.00;1516.00;1561.00;1531.00;1546.00;1591.00;
00-00025856;SC-00025856;Добор XN 10*150*2440 Монблан;Погонаж;шт;PROFILDOORS;Добор;XN,ZN;;Монблан;2440;150;10;;;;;1072.00;1083.00;1115.00;1093.00;1104.00;1501.00;1516.00;1561.00;1531.00;1546.00;1591.00;
00-00050454;SC-00050454;Добор L 10*100*2440 Черный Люкс;Погонаж;шт;PROFILDOORS;Добор;L,LK;;Черный Люкс;2440;100;10;;;;;1400.00;1414.00;1456.00;1428.00;1442.00;2031.00;2051.00;2112.00;2072.00;2092.00;2153.00;
00-00014714;SC-00014714;Добор L 10*100*2440 Белый Люкс;Погонаж;шт;PROFILDOORS;Добор;L,LK;;Белый Люкс;2440;100;10;;;;;1400.00;1414.00;1456.00;1428.00;1442.00;2031.00;2051.00;2112.00;2072.00;2092.00;2153.00;
00-00014715;SC-00014715;Добор L 10*100*2440 Магнолия Люкс;Погонаж;шт;PROFILDOORS;Добор;L,LK;;Магнолия Люкс;2440;100;10;;;;;1400.00;1414.00;1456.00;1428.00;1442.00;2031.00;2051.00;2112.00;2072.00;2092.00;2153.00;
00-00014716;SC-00014716;Добор L 10*150*2440 Белый Люкс;Погонаж;шт;PROFILDOORS;Добор;L,LK;;Белый Люкс;2440;150;10;;;;;1682.00;1699.00;1749.00;1716.00;1732.00;2439.00;2463.00;2537.00;2488.00;2512.00;2585.00;
00-00014717;SC-00014717;Добор L 10*150*2440 Магнолия Люкс;Погонаж;шт;PROFILDOORS;Добор;L,LK;;Магнолия Люкс;2440;150;10;;;;;1682.00;1699.00;1749.00;1716.00;1732.00;2439.00;2463.00;2537.00;2488.00;2512.00;2585.00;
00-00027287;SC-00027287;Добор L 10*100*2440 Галька Люкс;Погонаж;шт;PROFILDOORS;Добор;L,LK;;Галька Люкс;2440;100;10;;;;;1400.00;1414.00;1456.00;1428.00;1442.00;2031.00;2051.00;2112.00;2072.00;2092.00;2153.00;
00-00027288;SC-00027288;Добор L 10*150*2440 Галька Люкс;Погонаж;шт;PROFILDOORS;Добор;L,LK;;Галька Люкс;2440;150;10;;;;;1682.00;1699.00;1749.00;1716.00;1732.00;2439.00;2463.00;2537.00;2488.00;2512.00;2585.00;
00-00014720;SC-00014720;Наличник плоский L 16*80*2440 Белый Люкс;Погонаж;шт;PROFILDOORS;Наличник;L,LK;;Белый Люкс;2440;80;16;;;;;1011.00;1021.00;1051.00;1031.00;1041.00;1466.00;1481.00;1525.00;1495.00;1510.00;1554.00;
00-00014721;SC-00014721;Наличник плоский L 16*80*2440 Магнолия Люкс;Погонаж;шт;PROFILDOORS;Наличник;L,LK;;Магнолия Люкс;2440;80;16;;;;;1011.00;1021.00;1051.00;1031.00;1041.00;1466.00;1481.00;1525.00;1495.00;1510.00;1554.00;
00-00047461;SC-00047461;Наличник плоский L 10*80*2440 Белый Люкс;Погонаж;шт;PROFILDOORS;Наличник;L,LK;;Белый Люкс;2440;80;10;;;;;1011.00;1021.00;1051.00;1031.00;1041.00;1466.00;1481.00;1525.00;1495.00;1510.00;1554.00;
00-00047462;SC-00047462;Наличник плоский L 10*80*2440 Магнолия Люкс;Погонаж;шт;PROFILDOORS;Наличник;L,LK;;Магнолия Люкс;2440;80;10;;;;;1011.00;1021.00;1051.00;1031.00;1041.00;1466.00;1481.00;1525.00;1495.00;1510.00;1554.00;
00-00047463;SC-00047463;Наличник плоский L 10*80*2440 Галька Люкс;Погонаж;шт;PROFILDOORS;Наличник;L,LK;;Галька Люкс;2440;80;10;;;;;1011.00;1021.00;1051.00;1031.00;1041.00;1466.00;1481.00;1525.00;1495.00;1510.00;1554.00;
00-00047464;SC-00047464;Наличник плоский L 10*80*2440 Черный Люкс;Погонаж;шт;PROFILDOORS;Наличник;L,LK;;Черный Люкс;2440;80;10;;;;;1011.00;1021.00;1051.00;1031.00;1041.00;1466.00;1481.00;1525.00;1495.00;1510.00;1554.00;
00-00027290;SC-00027290;Наличник плоский L 16*80*2440 Галька Люкс;Погонаж;шт;PROFILDOORS;Наличник;L,LK;;Галька Люкс;2440;80;16;;;;;1011.00;1021.00;1051.00;1031.00;1041.00;1466.00;1481.00;1525.00;1495.00;1510.00;1554.00;
00-00009367;SC-00009367;Наличник плоский 16*70*2440 Магнолия сатинат;Погонаж;шт;PROFILDOORS;Наличник;Е,U;;Магнолия Сатинат;2440;70;16;;;;;619.00;625.00;644.00;631.00;638.00;867.00;876.00;902.00;884.00;893.00;919.00;
00-00033636;SC-00033636;Наличник плоский 10*80*2440 Аляска;Погонаж;шт;PROFILDOORS;Наличник;Е,U;;Аляска;2440;80;10;;;;;619.00;625.00;644.00;631.00;638.00;867.00;876.00;902.00;884.00;893.00;919.00;
00-00033639;SC-00033639;Наличник плоский 10*80*2440 Магнолия сатинат;Погонаж;шт;PROFILDOORS;Наличник;Е,U;;Магнолия Сатинат;2440;80;10;;;;;619.00;625.00;644.00;631.00;638.00;867.00;876.00;902.00;884.00;893.00;919.00;
00-00033640;SC-00033640;Наличник плоский 10*80*2440 Манхэттен;Погонаж;шт;PROFILDOORS;Наличник;Е,U;;Манхэттен;2440;80;10;;;;;619.00;625.00;644.00;631.00;638.00;867.00;876.00;902.00;884.00;893.00;919.00;
00-00025632;SC-00025632;Наличник плоский 16*70*2440 Манхэттен;Погонаж;шт;PROFILDOORS;Наличник;Е,U;;Манхэттен;2440;70;16;;;;;619.00;625.00;644.00;631.00;638.00;867.00;876.00;902.00;884.00;893.00;919.00;
00-00009726;SC-00009726;Наличник плоский 16*70*2440 Аляска;Погонаж;шт;PROFILDOORS;Наличник;Е,U;;Аляска;2440;70;16;;;;;619.00;625.00;644.00;631.00;638.00;867.00;876.00;902.00;884.00;893.00;919.00;
00-00011443;SC-00011443;Добор 10*100*2440 Магнолия сатинат;Погонаж;шт;PROFILDOORS;Добор;Е,U;;Магнолия Сатинат;2440;100;10;;;;;949.00;958.00;987.00;968.00;977.00;1329.00;1342.00;1382.00;1356.00;1369.00;1409.00;
00-00022709;SC-00022709;Добор 10*200*2440 Аляска;Погонаж;шт;PROFILDOORS;Добор;Е,U;;Аляска;2440;200;10;;;;;1899.00;1918.00;1975.00;1937.00;1956.00;2659.00;2686.00;2765.00;2712.00;2739.00;2819.00;
00-00022710;SC-00022710;Добор 10*200*2440 Магнолия сатинат;Погонаж;шт;PROFILDOORS;Добор;Е,U;;Магнолия Сатинат;2440;200;10;;;;;1899.00;1918.00;1975.00;1937.00;1956.00;2659.00;2686.00;2765.00;2712.00;2739.00;2819.00;
00-00010641;SC-00010641;Добор 10*150*2440 Аляска;Погонаж;шт;PROFILDOORS;Добор;Е,U;;Аляска;2440;150;10;;;;;1072.00;1083.00;1115.00;1093.00;1104.00;1501.00;1516.00;1561.00;1531.00;1546.00;1591.00;
00-00030016;SC-00030016;Добор 10*200*2440 Манхэттен;Погонаж;шт;PROFILDOORS;Добор;Е,U;;Манхэттен;2440;200;10;;;;;1899.00;1918.00;1975.00;1937.00;1956.00;2659.00;2686.00;2765.00;2712.00;2739.00;2819.00;
00-00025634;SC-00025634;Добор 10*150*2440 Манхэттен;Погонаж;шт;PROFILDOORS;Добор;Е,U;;Манхэттен;2440;150;10;;;;;1072.00;1083.00;1115.00;1093.00;1104.00;1501.00;1516.00;1561.00;1531.00;1546.00;1591.00;
00-00025635;SC-00025635;Добор 10*100*2440 Манхэттен;Погонаж;шт;PROFILDOORS;Добор;Е,U;;Манхэттен;2440;100;10;;;;;949.00;958.00;987.00;968.00;977.00;1329.00;1342.00;1382.00;1356.00;1369.00;1409.00;
00-00011800;SC-00011800;Добор 10*150*2440 Магнолия сатинат;Погонаж;шт;PROFILDOORS;Добор;Е,U;;Магнолия Сатинат;2440;150;10;;;;;1072.00;1083.00;1115.00;1093.00;1104.00;1501.00;1516.00;1561.00;1531.00;1546.00;1591.00;
00-00009727;SC-00009727;Добор 10*100*2440 Аляска;Погонаж;шт;PROFILDOORS;Добор;Е,U;;Аляска;2440;100;10;;;;;949.00;958.00;987.00;968.00;977.00;1329.00;1342.00;1382.00;1356.00;1369.00;1409.00;
00-00020895;SC-00020895;Добор 10*150*2440 Пекан Белый;Погонаж;шт;PROFILDOORS;Добор;X;;Пекан Белый;2440;150;10;;;;;1072.00;1083.00;1115.00;1093.00;1104.00;1501.00;1516.00;1561.00;1531.00;1546.00;1591.00;
00-00020897;SC-00020897;Добор 10*100*2440 Пекан Белый;Погонаж;шт;PROFILDOORS;Добор;X;;Пекан Белый;2440;100;10;;;;;949.00;958.00;987.00;968.00;977.00;1329.00;1342.00;1382.00;1356.00;1369.00;1409.00;
00-00020868;SC-00020868;Петля AGB Eclipse 2.0 скрытая черная;Фурнитура;компл;PROFILDOORS;Петля;;;Черный;;;;;;;;1597.00;1613.00;1661.00;1629.00;1645.00;2156.00;2178.00;2242.00;2199.00;2221.00;2285.00;
00-00034909;SC-00034909;Петля AGB Eclipse 3.0 скрытая матовый хром (Е302000234);Фурнитура;компл;PROFILDOORS;Петля;;;Матовый хром;;;;;;;;944.00;953.00;982.00;963.00;972.00;1274.00;1287.00;1325.00;1299.00;1312.00;1350.00;
00-00021286;SC-00021286;Петля AGB Eclipse 2.0 скрытая матовый хром;Фурнитура;компл;PROFILDOORS;Петля;;;Матовый хром;;;;;;;;1235.00;1247.00;1284.00;1260.00;1272.00;1667.00;1684.00;1734.00;1700.00;1717.00;1767.00;
00-00045078;SC-00045078;Плинтус прямой 16*80*2070 Черный Люкс;Погонаж;шт;PROFILDOORS;Плинтус;L,LK;;Черный Люкс;2070;80;16;;;;;744.00;751.00;774.00;759.00;766.00;1079.00;1090.00;1122.00;1101.00;1111.00;1144.00;
00-00023541;SC-00023541;Плинтус прямой 16*80*2070 Белый люкс;Погонаж;шт;PROFILDOORS;Плинтус;L,LK;;Белый Люкс;2070;80;16;;;;;744.00;751.00;774.00;759.00;766.00;1079.00;1090.00;1122.00;1101.00;1111.00;1144.00;
00-00023592;SC-00023592;Плинтус прямой 16*80*2070 Аляска;Погонаж;шт;PROFILDOORS;Плинтус;Е,U;;Аляска;2070;80;16;;;;;497.00;502.00;517.00;507.00;512.00;696.00;703.00;724.00;710.00;717.00;738.00;
00-00023593;SC-00023593;Плинтус прямой 16*80*2070 Магнолия люкс;Погонаж;шт;PROFILDOORS;Плинтус;L;;Магнолия Люкс;2070;80;16;;;;;744.00;751.00;774.00;759.00;766.00;1079.00;1090.00;1122.00;1101.00;1111.00;1144.00;
00-00023594;SC-00023594;Плинтус прямой 16*80*2070 Магнолия сатинат;Погонаж;шт;PROFILDOORS;Плинтус;Е,U;;Магнолия Сатинат;2070;80;16;;;;;497.00;502.00;517.00;507.00;512.00;696.00;703.00;724.00;710.00;717.00;738.00;
00-00041155;SC-00041155;Плинтус 13*60*3000 алюминиевый;Погонаж;шт;PROFILDOORS;Плинтус;;;Матовый Алюминий;3000;60;13;;;;;1603.00;1619.00;1667.00;1635.00;1651.00;2405.00;2429.00;2501.00;2453.00;2477.00;2549.00;
00-00041156;SC-00041156;Плинтус 13*80*3000 алюминиевый;Погонаж;шт;PROFILDOORS;Плинтус;;;Матовый Алюминий;3000;80;13;;;;;1774.00;1792.00;1845.00;1809.00;1827.00;2661.00;2688.00;2767.00;2714.00;2741.00;2821.00;
00-00002318;SC-00002318;Клипса для плинтуса;Погонаж;шт;PROFILDOORS;Клипса;;;;;;;;;;;35.00;35.00;36.00;36.00;36.00;51.00;52.00;53.00;52.00;53.00;54.00;
00-00023887;SC-00023887;Плинтус прямой 16*80*2070 Дуб Салинас Светлый;Погонаж;шт;PROFILDOORS;Плинтус;XN,ZN;;Дуб Салинас Светлый;2070;80;16;;;;;497.00;502.00;517.00;507.00;512.00;696.00;703.00;724.00;710.00;717.00;738.00;
00-00025531;SC-00025531;Плинтус прямой 16*80*2070 Манхэттен;Погонаж;шт;PROFILDOORS;Плинтус;Е,U;;Манхэттен;2070;80;16;;;;;497.00;502.00;517.00;507.00;512.00;696.00;703.00;724.00;710.00;717.00;738.00;
00-00025807;SC-00025807;Плинтус прямой 16*80*2070 Грувд Серый;Погонаж;шт;PROFILDOORS;Плинтус;XN,ZN;;Грувд Серый;2070;80;16;;;;;497.00;502.00;517.00;507.00;512.00;696.00;703.00;724.00;710.00;717.00;738.00;
00-00025808;SC-00025808;Плинтус прямой 16*80*2070 Стоун;Погонаж;шт;PROFILDOORS;Плинтус;XN,ZN;;Стоун;2070;80;16;;;;;497.00;502.00;517.00;507.00;512.00;696.00;703.00;724.00;710.00;717.00;738.00;
00-00025809;SC-00025809;Плинтус прямой 16*80*2070 Монблан;Погонаж;шт;PROFILDOORS;Плинтус;XN,ZN;;Монблан;2070;80;16;;;;;497.00;502.00;517.00;507.00;512.00;696.00;703.00;724.00;710.00;717.00;738.00;
00-00027279;SC-00027279;Плинтус прямой 16*80*2070 Галька Люкс;Погонаж;шт;PROFILDOORS;Плинтус;L,LK;;Галька Люкс;2070;80;16;;;;;744.00;751.00;774.00;759.00;766.00;1079.00;1090.00;1122.00;1101.00;1111.00;1144.00;
00-00028875;SC-00028875;Наличник фигурный 16*90*2440 Манхэттен СВ;Погонаж;шт;PROFILDOORS;Наличник;U;;Манхэттен;2440;90;16;;;;;795.00;803.00;827.00;811.00;819.00;1112.00;1123.00;1156.00;1134.00;1145.00;1179.00;
00-00018839;SC-00018839;Наличник фигурный 16*90*2440 Магнолия Сатинат СВ;Погонаж;шт;PROFILDOORS;Наличник;U;;Магнолия Сатинат;2440;90;16;;;;;795.00;803.00;827.00;811.00;819.00;1112.00;1123.00;1156.00;1134.00;1145.00;1179.00;
00-00039548;SC-00039548;Наличник фигурный XN 16*90*2440 Грувд Серый СВ;Погонаж;шт;PROFILDOORS;Наличник;XN;;Грувд Серый;2440;90;16;;;;;795.00;803.00;827.00;811.00;819.00;1112.00;1123.00;1156.00;1134.00;1145.00;1179.00;
00-00039550;SC-00039550;Наличник фигурный XN 16*90*2440 Дуб Салинас Светлый СВ;Погонаж;шт;PROFILDOORS;Наличник;XN;;Дуб Салинас Светлый;2440;90;16;;;;;795.00;803.00;827.00;811.00;819.00;1112.00;1123.00;1156.00;1134.00;1145.00;1179.00;
00-00039552;SC-00039552;Наличник фигурный XN 16*90*2440 Монблан СВ;Погонаж;шт;PROFILDOORS;Наличник;XN;;Монблан;2440;90;16;;;;;795.00;803.00;827.00;811.00;819.00;1112.00;1123.00;1156.00;1134.00;1145.00;1179.00;
00-00039553;SC-00039553;Наличник фигурный XN 16*90*2440 Стоун СВ;Погонаж;шт;PROFILDOORS;Наличник;XN;;Стоун;2440;90;16;;;;;795.00;803.00;827.00;811.00;819.00;1112.00;1123.00;1156.00;1134.00;1145.00;1179.00;
00-00017108;SC-00017108;Наличник фигурный 16*90*2440 Аляска СВ;Погонаж;шт;PROFILDOORS;Наличник;U;;Аляска;2440;90;16;;;;;795.00;803.00;827.00;811.00;819.00;1112.00;1123.00;1156.00;1134.00;1145.00;1179.00;
00-00058058;SC-00058058;Плинтус прямой 16*80*2070 ДаркВайт;Погонаж;шт;PROFILDOORS;Плинтус;Е,U;;ДаркВайт;2070;80;16;;;;;497.00;502.00;517.00;507.00;512.00;696.00;703.00;724.00;710.00;717.00;738.00;
00-00058059;SC-00058059;Плинтус прямой 16*80*2070 Шеллгрей;Погонаж;шт;PROFILDOORS;Плинтус;Е,U;;Шеллгрей;2070;80;16;;;;;497.00;502.00;517.00;507.00;512.00;696.00;703.00;724.00;710.00;717.00;738.00;
00-00060074;SC-00060074;Наличник плоский 16*70*2440 ДаркВайт;Погонаж;шт;PROFILDOORS;Наличник;Е,U;;ДаркВайт;2440;70;16;;;;;619.00;625.00;644.00;631.00;638.00;867.00;876.00;902.00;884.00;893.00;919.00;
00-00060071;SC-00060071;Наличник плоский 10*80*2440 ДаркВайт;Погонаж;шт;PROFILDOORS;Наличник;Е,U;;ДаркВайт;2440;80;10;;;;;619.00;625.00;644.00;631.00;638.00;867.00;876.00;902.00;884.00;893.00;919.00;
00-00060257;SC-00060257;Наличник плоский 10*80*2440 Шеллгрей;Погонаж;шт;PROFILDOORS;Наличник;Е,U;;Шеллгрей;2440;80;10;;;;;619.00;625.00;644.00;631.00;638.00;867.00;876.00;902.00;884.00;893.00;919.00;
00-00060260;SC-00060260;Наличник плоский 16*70*2440 Шеллгрей;Погонаж;шт;PROFILDOORS;Наличник;Е,U;;Шеллгрей;2440;70;16;;;;;619.00;625.00;644.00;631.00;638.00;867.00;876.00;902.00;884.00;893.00;919.00;
00-00060229;SC-00060229;Добор 10*200*2440 Шеллгрей;Погонаж;шт;PROFILDOORS;Добор;Е,U;;Шеллгрей;2440;200;10;;;;;1899.00;1918.00;1975.00;1937.00;1956.00;2659.00;2686.00;2765.00;2712.00;2739.00;2819.00;
00-00060230;SC-00060230;Добор 10*200*2440 ДаркВайт;Погонаж;шт;PROFILDOORS;Добор;Е,U;;ДаркВайт;2440;200;10;;;;;1899.00;1918.00;1975.00;1937.00;1956.00;2659.00;2686.00;2765.00;2712.00;2739.00;2819.00;
00-00060233;SC-00060233;Добор 10*100*2440 ДаркВайт;Погонаж;шт;PROFILDOORS;Добор;Е,U;;ДаркВайт;2440;100;10;;;;;949.00;958.00;987.00;968.00;977.00;1329.00;1342.00;1382.00;1356.00;1369.00;1409.00;
00-00060234;SC-00060234;Добор 10*100*2440 Шеллгрей;Погонаж;шт;PROFILDOORS;Добор;Е,U;;Шеллгрей;2440;100;10;;;;;949.00;958.00;987.00;968.00;977.00;1329.00;1342.00;1382.00;1356.00;1369.00;1409.00;
00-00060240;SC-00060240;Добор 10*150*2440 ДаркВайт;Погонаж;шт;PROFILDOORS;Добор;Е,U;;ДаркВайт;2440;150;10;;;;;1072.00;1083.00;1115.00;1093.00;1104.00;1501.00;1516.00;1561.00;1531.00;1546.00;1591.00;
00-00060241;SC-00060241;Добор 10*150*2440 Шеллгрей;Погонаж;шт;PROFILDOORS;Добор;Е,U;;Шеллгрей;2440;150;10;;;;;1072.00;1083.00;1115.00;1093.00;1104.00;1501.00;1516.00;1561.00;1531.00;1546.00;1591.00;
00-00060080;SC-00060080;Наличник фигурный 16*90*2440 ДаркВайт СВ;Погонаж;шт;PROFILDOORS;Наличник;U;;ДаркВайт;2440;90;16;;;;;795.00;803.00;827.00;811.00;819.00;1112.00;1123.00;1156.00;1134.00;1145.00;1179.00;
00-00060268;SC-00060268;Наличник фигурный 16*90*2440 Шеллгрей СВ;Погонаж;шт;PROFILDOORS;Наличник;U;;Шеллгрей;2440;90;16;;;;;795.00;803.00;827.00;811.00;819.00;1112.00;1123.00;1156.00;1134.00;1145.00;1179.00;
00-00064736;SC-00064736;Наличник плоский XN 10*80*2440 Каштан Темный;Погонаж;шт;PROFILDOORS;Наличник;XN,ZN;;Каштан Темный;2440;80;10;;;;;619.00;625.00;644.00;631.00;638.00;867.00;876.00;902.00;884.00;893.00;919.00;
00-00064737;SC-00064737;Наличник плоский XN 10*80*2440 Каштан Светлый;Погонаж;шт;PROFILDOORS;Наличник;ZN;;Каштан Светлый;2440;80;10;;;;;619.00;625.00;644.00;631.00;638.00;867.00;876.00;902.00;884.00;893.00;919.00;
00-00064721;SC-00064721;Добор XN 10*100*2440 Каштан Темный;Погонаж;шт;PROFILDOORS;Добор;ZN;;Каштан Темный;2440;100;10;;;;;949.00;958.00;987.00;968.00;977.00;1329.00;1342.00;1382.00;1356.00;1369.00;1409.00;
00-00064722;SC-00064722;Добор XN 10*100*2440 Каштан Светлый;Погонаж;шт;PROFILDOORS;Добор;ZN;;Каштан Светлый;2440;100;10;;;;;949.00;958.00;987.00;968.00;977.00;1329.00;1342.00;1382.00;1356.00;1369.00;1409.00;
00-00064727;SC-00064727;Добор XN 10*150*2440 Каштан Темный;Погонаж;шт;PROFILDOORS;Добор;ZN;;Каштан Темный;2440;150;10;;;;;1072.00;1083.00;1115.00;1093.00;1104.00;1501.00;1516.00;1561.00;1531.00;1546.00;1591.00;
00-00064728;SC-00064728;Добор XN 10*150*2440 Каштан Светлый;Погонаж;шт;PROFILDOORS;Добор;ZN;;Каштан Светлый;2440;150;10;;;;;1072.00;1083.00;1115.00;1093.00;1104.00;1501.00;1516.00;1561.00;1531.00;1546.00;1591.00;
00-00064754;SC-00064754;Плинтус прямой 16*80*2070 Каштан Темный;Погонаж;шт;PROFILDOORS;Плинтус;XN,ZN;;Каштан Темный;2070;80;16;;;;;625.00;631.00;650.00;638.00;644.00;938.00;947.00;976.00;957.00;966.00;994.00;
00-00064755;SC-00064755;Плинтус прямой 16*80*2070 Каштан Светлый;Погонаж;шт;PROFILDOORS;Плинтус;XN,ZN;;Каштан Светлый;2070;80;16;;;;;497.00;502.00;517.00;507.00;512.00;696.00;703.00;724.00;710.00;717.00;738.00;
00-00064751;SC-00064751;Наличник фигурный XN 16*90*2440 Каштан Темный СВ;Погонаж;шт;PROFILDOORS;Наличник;XN,ZN;;Каштан Темный;2440;90;16;;;;;795.00;803.00;827.00;811.00;819.00;1112.00;1123.00;1156.00;1134.00;1145.00;1179.00;
00-00064752;SC-00064752;Наличник фигурный XN 16*90*2440 Каштан Светлый СВ;Погонаж;шт;PROFILDOORS;Наличник;XN;;Каштан Светлый;2440;90;16;;;;;795.00;803.00;827.00;811.00;819.00;1112.00;1123.00;1156.00;1134.00;1145.00;1179.00;
00-00026108;SC-00026108;Наличник плоский XN 10*80*2440 Монблан;Погонаж;шт;PROFILDOORS;Наличник;XN,ZN;;Монблан;2440;80;10;;;;;619.00;625.00;644.00;631.00;638.00;867.00;876.00;902.00;884.00;893.00;919.00;
00-00025853;SC-00025853;Добор XN 10*100*2440 Стоун;Погонаж;шт;PROFILDOORS;Добор;XN,ZN;;Стоун;2440;100;10;;;;;949.00;958.00;987.00;968.00;977.00;1329.00;1342.00;1382.00;1356.00;1369.00;1409.00;
00-00025857;SC-00025857;Добор XN 10*150*2440 Стоун;Погонаж;шт;PROFILDOORS;Добор;XN,ZN;;Стоун;2440;150;10;;;;;1072.00;1083.00;1115.00;1093.00;1104.00;1501.00;1516.00;1561.00;1531.00;1546.00;1591.00;
00-00090898;SC-00090898;Плинтус 13*60*3000 алюминиевый черный;Погонаж;шт;PROFILDOORS;Плинтус;;;Черный Матовый;3000;60;13;;;;;1603.00;1619.00;1667.00;1635.00;1651.00;2405.00;2429.00;2501.00;2453.00;2477.00;2549.00;
00-00090899;SC-00090899;Плинтус 13*80*3000 алюминиевый черный;Погонаж;шт;PROFILDOORS;Плинтус;;;Черный Матовый;3000;80;13;;;;;1774.00;1792.00;1845.00;1809.00;1827.00;2661.00;2688.00;2767.00;2714.00;2741.00;2821.00;
00-00093200;SC-00093200;Петля AGB Eclipse 3.0 скрытая черная (Е302000293);Фурнитура;компл;PROFILDOORS;Петля;;;Черный;;;;;;;;1090.00;1101.00;1134.00;1112.00;1123.00;1472.00;1487.00;1531.00;1501.00;1516.00;1560.00;
00-00093411;SC-00093411;Перемычка горизонтальная REVERSE INVISIBLE 800;Погонаж;шт;PROFILDOORS;INV Перемычка;;;Матовый Алюминий;800;;;;;;https://opt-profildoors.ru/upload/ic/reverse.jpg;3053.00;3084.00;3175.00;3114.00;3145.00;4427.00;4471.00;4604.00;4516.00;4560.00;4693.00;
00-00093410;SC-00093410;Перемычка горизонтальная REVERSE INVISIBLE 700;Погонаж;шт;PROFILDOORS;INV Перемычка;;;Матовый Алюминий;700;;;;;;https://opt-profildoors.ru/upload/ic/reverse.jpg;3053.00;3084.00;3175.00;3114.00;3145.00;4427.00;4471.00;4604.00;4516.00;4560.00;4693.00;
00-00093404;SC-00093404;Перемычка горизонтальная REVERSE INVISIBLE Black Edition 800;Погонаж;шт;PROFILDOORS;INV Перемычка;;;Black Edition;800;;;;;;https://opt-profildoors.ru/upload/ic/reverse.jpg;3053.00;3084.00;3175.00;3114.00;3145.00;4427.00;4471.00;4604.00;4516.00;4560.00;4693.00;
00-00093405;SC-00093405;Перемычка горизонтальная REVERSE INVISIBLE Black Edition 600;Погонаж;шт;PROFILDOORS;INV Перемычка;;;Black Edition;600;;;;;;https://opt-profildoors.ru/upload/ic/reverse.jpg;3053.00;3084.00;3175.00;3114.00;3145.00;4427.00;4471.00;4604.00;4516.00;4560.00;4693.00;
00-00093407;SC-00093407;Перемычка горизонтальная REVERSE INVISIBLE Black Edition 700;Погонаж;шт;PROFILDOORS;INV Перемычка;;;Black Edition;700;;;;;;https://opt-profildoors.ru/upload/ic/reverse.jpg;3053.00;3084.00;3175.00;3114.00;3145.00;4427.00;4471.00;4604.00;4516.00;4560.00;4693.00;
00-00093408;SC-00093408;Перемычка горизонтальная REVERSE INVISIBLE Black Edition 900;Погонаж;шт;PROFILDOORS;INV Перемычка;;;Black Edition;900;;;;;;https://opt-profildoors.ru/upload/ic/reverse.jpg;3053.00;3084.00;3175.00;3114.00;3145.00;4427.00;4471.00;4604.00;4516.00;4560.00;4693.00;
