Внешний код;Артикул;Наименование номенклатуры;ВидНоменклатуры;ЕдиницаИзмерения;Бренд;Тип;Серия;Модель;Цвет;Высота;Ширина;Толщина;Стекло;Эксклюзив;Стиль;Путь к фото;Цена ЦФО Оптовая;Цена СЗФО Оптовая;Цена СФО Оптовая;Цена ЮФО Оптовая;Цена УФО Оптовая;Цена ЦФО Розница;Цена СЗФО Розница;Цена СФО Розница;Цена ЮФО Розница;Цена УФО Розница;Цена ДВФО Розница;
00-00069478;SC-00069478;Дверь Манхэттен 2.38U 2000*800;Полотно;шт;PROFILDOORS;Полотно;U;2.38;Манхэттен;2000;800;36;;;Классика;https://opt-profildoors.ru/upload/catalog/u/u__2-38u__mankhetten__no__no__no__no.jpg;9912.00;10011.00;10308.00;10110.00;10209.00;14015.00;14155.00;14576.00;14295.00;14435.00;14856.00;
00-00069323;SC-00069323;Дверь Аляска 5Е ст.перламутровый лак 2000*800 (190) кромка 4 стор. матовая Eclipse;Полотно;шт;PROFILDOORS;Полотно;Е;5;Аляска;2000;800;44;перламутровый лак;;Модерн;https://opt-profildoors.ru/upload/catalog/e/e__5e__alyaska__perlamutrovyy-lak__no__4-stor-matovaya__no.jpg;16831.00;16999.00;17504.00;17168.00;17336.00;24405.00;24649.00;25381.00;24893.00;25137.00;25869.00;
00-00069300;SC-00069300;Дверь Дуб Салинас Темный 2.48XN AL 2000*800 ст.графит;Полотно;шт;PROFILDOORS;Полотно;XN;2.48;Дуб Салинас Темный;2000;800;36;графит;;Модерн;https://opt-profildoors.ru/upload/ic/2.48XN_salinas_tyemnyy_grafit.jpg;9053.00;9144.00;9415.00;9234.00;9325.00;12901.00;13030.00;13417.00;13159.00;13288.00;13675.00;
00-00069723;SC-00069723;Дверь Галька Люкс 5LK ст.серебро матлак 2000*800 (190) кромка 4 стор. матовая Eclipse;Полотно;шт;PROFILDOORS;Полотно;LK;5;Галька Люкс;2000;800;44;серебро матлак;;Модерн;https://opt-profildoors.ru/upload/catalog/lk/lk__5lk__galka-lyuks__serebryanyy-lak__no__4-stor-matovaya__no.jpg;27238.00;27510.00;28328.00;27783.00;28055.00;39495.00;39890.00;41075.00;40285.00;40680.00;41865.00;
00-00069792;SC-00069792;Дверь Аляска 16Е ст.белый лак 2000*800 (190) кромка 4 стор. ABS Eclipse;Полотно;шт;PROFILDOORS;Полотно;Е;16;Аляска;2000;800;44;белый лак;;Модерн;https://opt-profildoors.ru/upload/ic/16E_alyaska_belyy_lak_ABS.jpg;15726.00;15883.00;16355.00;16041.00;16198.00;22803.00;23031.00;23715.00;23259.00;23487.00;24171.00;
00-00069842;SC-00069842;Дверь ДаркВайт 106U 2000*800;Полотно;шт;PROFILDOORS;Полотно;U;106;ДаркВайт;2000;800;36;;;Классика;https://opt-profildoors.ru/upload/catalog/u/u__106u__darkvayt__no__no__no__no.jpg;8321.00;8404.00;8654.00;8487.00;8571.00;11747.00;11864.00;12217.00;11982.00;12099.00;12452.00;
00-00069795;SC-00069795;Дверь Грувд Серый 2.11XN 2000*800 ст.графит;Полотно;шт;PROFILDOORS;Полотно;XN;2.11;Грувд Серый;2000;800;36;графит;;Модерн;https://opt-profildoors.ru/upload/catalog/xn/xn__2-11xn__gruvd-seryy__grafit__no__no__no.jpg;8880.00;8969.00;9235.00;9058.00;9146.00;12544.00;12669.00;13046.00;12795.00;12920.00;13297.00;
00-00069794;SC-00069794;Дверь Дуб Салинас Светлый 90XN 2000*800 ст.матовое;Полотно;шт;PROFILDOORS;Полотно;XN;90;Дуб Салинас Светлый;2000;800;36;матовое;;Классика;https://opt-profildoors.ru/upload/catalog/xn/xn__90xn__dub-salinas-svetlyy__matovoe__no__no__no.jpg;11787.00;11905.00;12258.00;12023.00;12141.00;16686.00;16853.00;17353.00;17020.00;17187.00;17687.00;
00-00069809;SC-00069809;Дверь Галька Люкс 6LK ст.белый лак 2000*800 (190) кромка 4 стор. матовая Eclipse;Полотно;шт;PROFILDOORS;Полотно;LK;6;Галька Люкс;2000;800;44;белый лак;;Модерн;https://opt-profildoors.ru/upload/ic/6lk_galka_lyuks_belyy_lak-copy.jpg;24344.00;24587.00;25318.00;24831.00;25074.00;35299.00;35652.00;36711.00;36005.00;36358.00;37417.00;
00-00070023;SC-00070023;Дверь Монблан  1ZN 2000*800 (190) кромка 4 стор. Black Edition Eclipse;Полотно;шт;PROFILDOORS;Полотно;ZN;1;Монблан;2000;800;44;;;Модерн;https://opt-profildoors.ru/upload/catalog/zn/zn__1zn__monblan__no__no__4-stor-black-edition__no.jpg;15963.00;16123.00;16602.00;16282.00;16442.00;23147.00;23378.00;24073.00;23610.00;23841.00;24536.00;
00-00070158;SC-00070158;Дверь ДаркВайт 92U 2000*800 ст.матовое;Полотно;шт;PROFILDOORS;Полотно;U;92;ДаркВайт;2000;800;36;матовое;;Классика;https://opt-profildoors.ru/upload/catalog/u/u__92u__darkvayt__matovoe__no__no__no.jpg;11787.00;11905.00;12258.00;12023.00;12141.00;16686.00;16853.00;17353.00;17020.00;17187.00;17687.00;
00-00070285;SC-00070285;Дверь Монблан 90XN 2000*800 ст.матовое;Полотно;шт;PROFILDOORS;Полотно;XN;90;Монблан;2000;800;36;матовое;;Классика;https://opt-profildoors.ru/upload/catalog/xn/xn__90xn__monblan__matovoe__no__no__no.jpg;11787.00;11905.00;12258.00;12023.00;12141.00;16686.00;16853.00;17353.00;17020.00;17187.00;17687.00;
00-00070288;SC-00070288;Дверь Манхэттен 108U 2000*800;Полотно;шт;PROFILDOORS;Полотно;U;108;Манхэттен;2000;800;36;;;Классика;https://opt-profildoors.ru/upload/catalog/u/u__108u__mankhetten__no__no__no__no.jpg;8321.00;8404.00;8654.00;8487.00;8571.00;11747.00;11864.00;12217.00;11982.00;12099.00;12452.00;
00-00070295;SC-00070295;Дверь Монблан 20XN 2000*800;Полотно;шт;PROFILDOORS;Полотно;XN;20;Монблан;2000;800;36;;;Модерн;https://opt-profildoors.ru/upload/catalog/xn/xn__20xn__monblan__no__no__no__no.jpg;8880.00;8969.00;9235.00;9058.00;9146.00;12544.00;12669.00;13046.00;12795.00;12920.00;13297.00;
00-00070413;SC-00070413;Дверь Магнолия Сатинат 16Е ст.перламутровый лак 2000*800 (190) кромка 4 стор. матовая Eclipse;Полотно;шт;PROFILDOORS;Полотно;Е;16;Магнолия Сатинат;2000;800;44;перламутровый лак;;Модерн;https://opt-profildoors.ru/upload/catalog/e/e__16e__magnoliya-satinat__perlamutrovyy-lak__no__4-stor-matovaya__no.jpg;16831.00;16999.00;17504.00;17168.00;17336.00;24405.00;24649.00;25381.00;24893.00;25137.00;25869.00;
00-00071044;SC-00071044;Дверь Дуб Салинас Темный 20XN 2000*800;Полотно;шт;PROFILDOORS;Полотно;XN;20;Дуб Салинас Темный;2000;800;36;;;Модерн;https://opt-profildoors.ru/upload/catalog/xn/xn__20xn__dub-salinas-temnyy__no__no__no__no.jpg;8880.00;8969.00;9235.00;9058.00;9146.00;12544.00;12669.00;13046.00;12795.00;12920.00;13297.00;
00-00071055;SC-00071055;Дверь Магнолия Сатинат 6Е ст.черный лак 2000*800 (190) кромка 4 стор. ABS Eclipse;Полотно;шт;PROFILDOORS;Полотно;Е;6;Магнолия Сатинат;2000;800;44;черный лак;;Модерн;https://opt-profildoors.ru/upload/catalog/e/e__6e__magnoliya-satinat__chernyy-lak__no__4-stor-matovaya__no.jpg;13375.00;13509.00;13910.00;13643.00;13776.00;19394.00;19588.00;20170.00;19782.00;19976.00;20558.00;
00-00071153;SC-00071153;Дверь Шеллгрей 20U 2000*800  ;Полотно;шт;PROFILDOORS;Полотно;U;20;Шеллгрей;2000;800;36;;;Модерн;https://opt-profildoors.ru/upload/catalog/u/u__20u__shellgrey__no__no__no__no.jpg;8880.00;8969.00;9235.00;9058.00;9146.00;12544.00;12669.00;13046.00;12795.00;12920.00;13297.00;
00-00071183;SC-00071183;Дверь Грувд Серый 92XN 2000*800 ст.матовое;Полотно;шт;PROFILDOORS;Полотно;XN;92;Грувд Серый;2000;800;36;матовое;;Классика;https://opt-profildoors.ru/upload/catalog/xn/xn__92xn__gruvd-seryy__matovoe__no__no__no.jpg;11787.00;11905.00;12258.00;12023.00;12141.00;16686.00;16853.00;17353.00;17020.00;17187.00;17687.00;
00-00071244;SC-00071244;Дверь ДаркВайт 2.37U 2000*800 ст.Франческо кристалл;Полотно;шт;PROFILDOORS;Полотно;U;2.37;ДаркВайт;2000;800;36;Франческо кристалл;;Классика;https://opt-profildoors.ru/upload/catalog/u/u__2-37u__darkvayt__franchesko-kristall__no__no__no.jpg;10660.00;10767.00;11086.00;10873.00;10980.00;15190.00;15342.00;15798.00;15494.00;15646.00;16101.00;
00-00071245;SC-00071245;Дверь ДаркВайт 2.36U 2000*800;Полотно;шт;PROFILDOORS;Полотно;U;2.36;ДаркВайт;2000;800;36;;;Классика;https://opt-profildoors.ru/upload/catalog/u/u__2-36u__darkvayt__no__no__no__no.jpg;9912.00;10011.00;10308.00;10110.00;10209.00;14015.00;14155.00;14576.00;14295.00;14435.00;14856.00;
00-00071274;SC-00071274;Дверь Монблан  7XN 2000*800 ст.матовое;Полотно;шт;PROFILDOORS;Полотно;XN;7;Монблан;2000;800;36;матовое;;Модерн;https://opt-profildoors.ru/upload/catalog/xn/xn__7xn__monblan__matovoe__no__no__no.jpg;7680.00;7757.00;7987.00;7834.00;7910.00;10944.00;11053.00;11382.00;11163.00;11272.00;11601.00;
00-00071283;SC-00071283;Дверь Аляска 6Е ст.серебро матлак 2000*800 (190) кромка 4 стор. ABS Eclipse;Полотно;шт;PROFILDOORS;Полотно;Е;6;Аляска;2000;800;44;серебро матлак;;Модерн;https://opt-profildoors.ru/upload/ic/6E_alyaska_serebro_matlak_ABS.jpg;13375.00;13509.00;13910.00;13643.00;13776.00;19394.00;19588.00;20170.00;19782.00;19976.00;20558.00;
00-00071310;SC-00071310;Дверь Дуб Салинас Темный  1XN 2000*800;Полотно;шт;PROFILDOORS;Полотно;XN;1;Дуб Салинас Темный;2000;800;36;;;Классика;https://opt-profildoors.ru/upload/catalog/xn/xn__1xn__dub-salinas-temnyy__no__no__no__no.jpg;8880.00;8969.00;9235.00;9058.00;9146.00;12544.00;12669.00;13046.00;12795.00;12920.00;13297.00;
00-00071382;SC-00071382;Дверь Аляска 1Е 2000*800 (190) кромка 4 стор. Black Edition Eclipse;Полотно;шт;PROFILDOORS;Полотно;Е;1;Аляска;2000;800;44;;;Модерн;https://opt-profildoors.ru/upload/catalog/e/e__1e__alyaska__no__no__4-stor-black-edition__no.jpg;15103.00;15254.00;15707.00;15405.00;15556.00;21900.00;22119.00;22776.00;22338.00;22557.00;23214.00;
00-00071415;SC-00071415;Дверь ДаркВайт 2.103U 2000*800 ст.Square матовое;Полотно;шт;PROFILDOORS;Полотно;U;2.103;ДаркВайт;2000;800;36;Square матовое;;Классика;https://opt-profildoors.ru/upload/catalog/u/u__2-103u__darkvayt__square-matovoe__no__no__no.jpg;11762.00;11880.00;12232.00;11997.00;12115.00;16650.00;16817.00;17316.00;16983.00;17150.00;17649.00;
00-00071417;SC-00071417;Дверь Белый Люкс  5LK ст.белый лак 2000*800 (190) кромка 4 стор. ABS Eclipse;Полотно;шт;PROFILDOORS;Полотно;LK;5;Белый Люкс;2000;800;44;белый лак;;Модерн;https://opt-profildoors.ru/upload/ic/5lk_belyy_lyuks_belyy_lak-copy.jpg;26144.00;26405.00;27190.00;26667.00;26928.00;37909.00;38288.00;39425.00;38667.00;39046.00;40184.00;
